order_id,customer_id,product,category,amount,order_date,status
O001,C001,Laptop Pro,Electronics,1299.99,2023-06-01,completed
O002,C002,Wireless Mouse,Electronics,29.99,01/07/2023,COMPLETED
O003,C003,Office Chair,Furniture,349.99,2023-07-15,shipped
O004,C004,Desk Lamp,Furniture,,2023-08-01,pending
O005,C005,USB Hub,Electronics,49.99,15-Aug-2023,Cancelled
O006,C001,Mechanical Keyboard,Electronics,149.99,2023-09-10,completed
O007,C006,Standing Desk,Furniture,599.99,Sep 20 2023,COMPLETED
O008,C007,Monitor 27in,Electronics,399.99,2023-10-05,completed
O009,C008,Webcam HD,Electronics,89.99,05/11/2023,refunded
O010,C009,Laptop Stand,Accessories,79.99,2023-11-20,completed
O011,C010,Phone Charger,Accessories,,01-Dec-2023,pending
O012,C011,Bluetooth Speaker,Electronics,129.99,Dec 15 2023,completed
O013,C012,Ergonomic Mouse,Accessories,59.99,2023-12-28,SHIPPED
O014,C013,Drawing Tablet,Electronics,299.99,2024-01-10,completed
O015,C014,Cable Organizer,Accessories,19.99,10/01/2024,cancelled
O016,C015,Gaming Headset,Electronics,199.99,2024-01-25,Completed
O017,C016,Desk Organizer,Accessories,,Jan 30 2024,pending
O018,C017,Smart Plug,Electronics,34.99,2024-02-08,completed
O019,C018,Laptop Bag,Accessories,89.99,08-Feb-2024,Shipped
O020,C019,Screen Cleaner,Accessories,14.99,2024-02-20,completed
O021,C020,RGB Mousepad,Accessories,39.99,20/02/2024,refunded
O022,C021,Portable SSD,Electronics,109.99,2024-03-05,completed
O023,C022,Noise Cancelling Headphones,Electronics,249.99,Mar 12 2024,completed
O024,C023,Keyboard Wrist Rest,Accessories,29.99,2024-03-22,PENDING
O025,C024,4K Webcam,Electronics,149.99,22-Mar-2024,completed
O026,C025,Monitor Arm,Accessories,89.99,2024-04-02,completed
O027,C026,Streaming Mic,Electronics,179.99,02/04/2024,cancelled
O028,C027,Laptop Cooling Pad,Accessories,,Apr 15 2024,pending
O029,C028,Smart Keyboard,Electronics,249.99,2024-04-25,completed
O030,C029,Docking Station,Electronics,199.99,not-a-date,completed
O031,C030,Wireless Charger,Electronics,49.99,2024-05-08,completed
O032,C031,LED Desk Lamp,Furniture,59.99,08/05/2024,Completed
O033,C032,Swivel Chair,Furniture,449.99,2024-05-20,shipped
O034,C033,Filing Cabinet,Furniture,199.99,May 25 2024,completed
O035,C034,Bookshelf,Furniture,,2024-06-01,pending
O036,C035,Photo Printer,Electronics,299.99,01-Jun-2024,completed
O037,C036,Label Maker,Accessories,69.99,2024-06-15,Completed
O038,C037,Whiteboard,Furniture,129.99,15/06/2024,completed
O039,C038,Projector Screen,Furniture,249.99,2024-06-28,cancelled
